"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Jan-2024","EQ","534.10","537.55","530.30","529.65","537.20","536.65","534.60","563.70","272.00","3,81,282","20,38,32,042.05","23,895"
"12-Jan-2024","EQ","532.05","535.80","526.00","530.05","530.05","529.65","530.25","563.70","272.00","5,34,124","28,32,17,324.60","20,718"
"11-Jan-2024","EQ","525.00","531.00","520.00","520.00","531.00","530.05","527.93","563.70","272.00","7,56,649","39,94,56,226.75","26,015"
"10-Jan-2024","EQ","517.00","521.50","515.15","514.90","519.50","520.00","519.01","563.70","272.00","7,22,723","37,51,03,645.60","23,091"
"09-Jan-2024","EQ","515.60","518.15","511.50","510.60","513.80","514.90","514.53","563.70","272.00","6,50,174","33,45,34,549.35","22,748"
"08-Jan-2024","EQ","508.40","512.80","508.05","506.95","511.05","510.60","510.32","563.70","272.00","9,06,614","46,26,60,130.75","32,793"
"05-Jan-2024","EQ","499.45","508.40","498.00","496.55","507.20","506.95","505.32","563.70","272.00","12,41,376","62,72,97,212.40","46,320"
"04-Jan-2024","EQ","486.00","498.00","484.15","488.35","497.00","496.55","494.09","563.70","272.00","5,08,234","25,11,13,219.05","15,604"
"03-Jan-2024","EQ","480.00","493.00","479.80","481.50","489.00","488.35","488.22","563.70","272.00","5,09,102","24,85,53,995.25","18,336"
"02-Jan-2024","EQ","484.30","489.70","479.20","482.95","482.00","481.50","482.73","563.70","272.00","6,69,246","32,30,67,937.25","29,274"
